,0
7237,professor deu certo erro esperar processamento matrícula nome saiu lista desculpa
7238,pessoal aberto edital estágio voluntário diretoria ti imd desenvolvimento web disponibilidade trabalhar horas semana precisa h negociável inscreva edital oportunidade ganhar experiência profissional
7239,aprendendo proceder
7240,alguém informar período solicitar bolsa alimentação
7241,bolsas solicitações bolsas solicitação bolsas auxílios esqueça necessário aderir cadastro único
7242,edital consta período julho prorrogado julho edital disponível
7243,noite desejo realizar proficiência disciplinas procedimentos necessários efetuar solicitação alguém puder ajudar agradeço segue disciplinas desejo solicitar proficiência dim boas práticas programação imd design software ii imd linguagem programação ii
7244,querendo
7245,nao engano vc requerimento coordenacao
7246,secretaria bti preenche solicitação
7247,prezados mensagem seguintes objetivos proceder inscrição maratona programação ano alertando prazo inscrições baratas informarem intenção participar domingo julho interessado detalhes abaixo divulgar site facebook interessados petições programação ufrn chamar interessados participar treinamentos coletivos facebook entrar contato victor railton hélio vamos detalhamento inscriçôes introdução blá blá blá informações detalhadas maratona programação encontram participar ano aluno satisfizer seguintes requisitos iniciou curso superior b nasceu fase ufrn imd dia equipe posta alunos coach possíveis cocoaches equipe possa coach diferente sido praxe universidades asileiras único coach duplatrio coaches concentrar inscrições praticidade operacional ano fazendo papel sérgio medeiros rafael beserra inscrições detalhado notem preços diferenciados dependendo inscrição equipes resumindo caso seguir inscrição manifestar interesse domingo julho pagará reais time reais pessoa nota caia reais time pessoa associando institucionalmente sbc encaminhar inscrição time mande mensagem mim cópia cc sérgio rafael dizendo nome curso nome time aluno enviar email necessariamente incluir cópia email cc alunos pletam time adicionalmente facebook maratona urn coloque nome lista inscritos link direto formando planilha facebook objetivo adicional incluir nome coluna livres gupo coluna pessoas entrar contato duplas formadas preencher planilha deixando nome anco caso avise email item acima petir fechou equipes poderão fechadas adiante principal agaora participar pagar reduzido nota baguncem planilha incluindo nome nome time escolham provisório avisem algum mudar abraço prolo
7248,olá alguém descontar plementares pendentes
7249,ensino registro atividades autônomas
7250,show pedro
7251,horas
7252,ensino registro atividades autônomas click cadastrar aparecerá atividades valem notas
7253,prezados disciplina tópicos especiais redes computadores c foco administração infraestrutura nuvem módulo objetivo apresentar funcionamento sistemas putação foco aspectos relacionados projeto implantação operação plataforma nuvem especificamente módulo objetivos introduzir conceitos características associada paradigma putação nuvem apresentar detalhes plataforma putação nuvem explorando principais serviços oferecidos respectivas apis apresentar ferramentas operação implantação infraestrutura putação nuvem módulo baseado plataforma nuvem openstack exigirá operacional linux usaremos centos termos prérequisitos módulo exige conhecimentos correspondentes ponentes imd redes computadores imd administração sistemas operacionais redes imd administração serviços redes internet desejável ementa proposta seguinte computação nuvem conceitos características serviços nuvem processamento armazenamento rede plataforma nuvem openstack projeto implantação infraestrutura putação nuvem ferramentas implantação nuvem s kadu
7254,dia pessoal amanhã estarão abertas matrículas ponentes curriculares bti período estarei ministrando professora anna giselle disciplina tecnologia informaçao saúde ministramos disciplina bti usando metodologia diferente disciplina professores bti fisioterapia profa icia eng biomedica profa beatriz ciencias computacao prof edgard ministram aulas conjuntas apresentando conceitos relacionados ciencias saúde visando ti objetivo principal fomentar ensino interdisicplinar promover entendimento inserção ti ciencias saúde caso queiram informações fiquem vontade perguntar professores citados
7255,darāo metodologia eixos relacionado equipamentos softwares conceitos interdisciplinares
7256,disciplina ministrada imd
7257,gostaria alguma prova proficiência web i início semestre caso data
7258,lucas secretaria solicitar data
7259,solicitação lucas serve pra
7260,solicitar weslen
7261,pessoal semestre disciplina tópicos especiais informática educacional c disciplina iremos estudar learning analytics ciência dados realiza análise computacional dados educacionais fechando ementa iremos python biblioteca análise dados mineração weka análise sentimento horário disciplina t dúvida entrar igo abraços bel
7262,disciplina conhecimentos prévios necessários
7263,solicitar abertura ponentes curriculares
7264,let história cultura afrobrasileira indígena h dbq fundamentos bioquímica biologia molecular h dan antropologia afrobrasileira h dan cultura ambiente h dan direitos humanos diversidade cultural relações étnicoraciais h dbg genetica h dbq química organica h fpe língua brasileira sinais libras h his história indígena brasil h ice fundamentos bioinformática h
7265,let dan dan fpe his turmas abertas
7266,sigaa visualizar ponentes abertos
7267,ensino consultas gerais consultar turma campo anoperíodo coloque
7268,valeu pessoal
7269,noite alguém informar turnos ênfase sistemas informação gestão noite ciência computação turno matutino engenharia software turno vespertino agradeço antemão
7270,ciência computação matutino vespertino
7271,engenharia software matutino vespertino computação matutino vespertino informática educacional noturno sistemas informação gestão noturno sistemas embarcados matutino vespertino
7272,ênfase redes computadores
7273,pessoal
7274,prezad coordenação bes informam ementa programa tópicos serem oferecidos reserva vagas alunos bes dim projeto desenvolvimento produtos equipes ágeis tópicos es iii sistemas software icados faceta mundo contemporâneo tendo potencial provocar mudanças melhorar vida pessoas curso convida alunos dispostos ingressar jornada desenvolvimento software alunos organizarão equipes início curso resolver algum problema real beneficie coletivo promova bemestar social software desenvolvido produto usuários reais usando tecnologias escolhidas equipe utilizados conceitos técnicas ágeis objetivo simular ambiente profissional desenvolvimento passando fases ciclo vida produto usando arte ferramentas desenvolvimento software avaliação baseada participação aluno diversas atividades desempenhadas individualmente equipe professor fernando figueira filho dimap prérequisitos cursar desejado aluno tido mínimo alguma linguagem programação cursado itp necessário necessário aluno interessado aprender habilidades desenvolvida avaliada capacidade aluno buscar informações diversas fontes próprios colegas aprender colocar prática ambiente desenvolvimento profissional dim requisitos avançados tópicos especiais es viii quantidade avaliações ano objetivo capacitar aluno requisitos orientados metas requisitos legais utilizando práticas ágeis ementa processo engenharia requisitos contexto metodologias ágeis engenharia requisitos orientada metas processo engenharia requisitos legais técnicas descoberta levantamento requisitos legais linguagens modelos representar requisitos requisitos orientado metas requisitos legais histórias usuários técnicas análise validação especificação requisitos funcionais negociação resolução conflitos requisitos rastreamento gerenciamento mudanças requisitos ciclo vida software conteúdo introdução requisitos contextualização requisitos tipos requisitos documentos requisitos processo engenharia requisitos processo requisitos contexto metodologias ágeis requisitos legais elicitação identificação fontes informação técnicas elicitação entrevistas leitura questionários reuniões antropologia análise protocolos engenharia reversa reuso base conhecimento requisitos funcionais elicitação contexto requisitos legais requisitos ágeis modelagem filosofias modelagem sistemas objetos redes agentes metas organizacional modelagem requisitos técnicas modelagem casos uso sentenças requisitos léxico ampliado linguagem istar validação verificação inspeções gerência requisitos rastreabilidade competências habilidades aluno capacidade escrever documento requisitos funcionais funcionais requisitos legais utilizar alguma técnica elicitação modelagem requisitos trabalhar contexto metodologias ágeis professora márcia lucena dimap dim tópicos esp computação xi redes fio móveis anoperíodo quantidade avaliações objetivos capacitar aluno cenário redes móveis voltadas cenários cidades inteligentes iot conteúdo ministrado resumo redes putadores cenários atuais resumo cidades inteligentes iot computação ubíqua tecnologias redes voltadas iot redes fio computação móvel redes móveis mobilidade redes ip competências habilidades aluno disciplina conhecimento redes computadores habilidades programação java professor augusto neto dimap dim desenvolvimento sistemas cidades inteligentes tópicos es i disponível eve professor fred lopes imd
7275,pessoal semestre vou lecionar disciplinas interação humanocomputador vejam detalhes anexo importante ar disciplinas eletivas cursos cc es bti optativas dúvida enviem email exalunos infelizmente lecionar acessibilidade digital noite sala disponível
7276,prezad informamos durante período férias julho secretaria bti funcionará horário reduzido h h h h att secretaria bti
7277,prezad informamos virtude paralisação secretaria bti funcionará hoje h att secretaria bti
7278,vaga direcionada alunos cursos tecnologia informação ciências computação estágio possibilidade bolsa agosto interessados enviar currículo coordenadores projeto éberton marinho gilberto corso requisitos proficiência programação orientada objetos proficiência programação linguagem java proficiência programação android ambiente android studio proficiência banco sql proficiência edição imagens ambientes corel draw photoshop proativo disposição aprender
7279,vaga estagiário seguintes requisitos atuação desenvolvimento sistemas webframeworks desenvolvimento weborm tecnologias java javascript framework grails conhecimento banco dados relacional conceitos orientação objetos habilidades web design css tratamento imagens desejável conhecimento django python trabalhos profissionais realizados equipes características estágio cadastro via iel bolsa r auxilio transporte horas semanais enviar currículo
7280,prezad informamos hoje secretaria bti funcionará h att helena velcic maziviero
7281,prezados venho convidálos vir experimentar protótipos jogos desenvolvidos disciplina fundamentos jogos digitais bti dia h hall º piso imd conforme informações apresentadas cartaz anexo atenciosamente charles madeira
7282,existe solução simples usuário seguro empresa palestra vmware funciona integração aplicações gerenciamento unificado análise real redução perda dados tecnologia informação modernize móvel cloud palestra inovação transformação digital bemvindo futuro auditório b civtimd dia sextafeira h entrada franca thiago valcesia especialista anos experiência tecnologia arquiteto soluções datacenter gerenciamento projetos suporte usuário josé viana gerente vendas nne potiguar anos experiência tecnologia arquiteto soluções latino america gerente projetos cio bacharel computação mestre engenharia computação
7283,olá informo aprovados prova proficiência imd realizada
7284,dia helena solicitar vista correção prova
7285,olá paulo compareça secretaria olhar prova caso deseje professores
7286,
7287,dia helena informar haverá
7288,olá rafael semestre participar necessário preencher justificativa secretaria curso obs dispensa ponente curricular estudante sido reprovado trancado matrícula matriculado ponente curricular ponente curricular equivalente
7289,certo
7290,esqueci fone anco sala laboratório estudos coletivos quartafeira manhã alguém encontrou manifestese agradeço
7291,prezados mensagem direcionada formandos formados bti desejar realizar reingresso ciclo ciência computação engenharia software oportunidade lançado página prograd plementar reingresso ciclo vagas remanescentes atenção prazos apertados eçaram segue link edital ps divulguem informação ok att sílvia
7292,prezados iniciando análise disciplinas ofertadas bcc bti ênfase cc semestre gostaria realizar levantamento demanda ponentes serem ofertados expressem demandas alguém expressado poderemos analisar quantidade alunos interessados ponente att sílvia
7293,seguindo grane imd º período imd estruturas dados básicas ii imd linguagem programação ii dim organização arquitetura computadores mat álgebra linear computação mat matemática engenharia ii
7294,dim interacao humanocomputador dim computação gráfica i dim sistemas embarcados dim programação distribuída dim compiladores dim inteligencia artificial
7295,mat matemática engenharia ii dim circuitos lógicos
7296,mat álgebra linear computação dim circuitos lógicos
7297,dim organização arquitetura computadores mat linear computação dim cálculo numérico ciência computação dim grafos
7298,dim compiladores dim inteligencia artificial dim programação distribuída dim sistemas embarcados dim interacao humanocomputador dim treinamento competições programação
7299,dim projeto software dim projeto análise algoritmos dim linguagens formais autômatos est estatistica aplicada engenharia i imd banco dados
7300,dim circuitos lógicos
7301,dim introdução circuitos lógicos dim treinamento competições programação
7302,dim linguagens programacao conceitos paradigmas dim programação concorrente dim especificacao verificacao programas dim compiladores dim inteligencia artificial dim programação distribuída
7303,dim inteligencia artificial dim organização arquitetura computadores
7304,dim grafos h dim redes computadores h dim interacao humanocomputador h dim computação gráfica i h
7305,dim programação distribuida h dim inteligência artificial h putação gráfica h dim desenvolvimento sistemas web ii h dim introdução desenvolvimento jogos h
7306,dim programação distribuída dim compiladores
7307,dim interacao humanocomputador dim especificacao verificacao programas dim programação concorrente dim programação distribuída dim compiladores
7308,dim introdução circuitos lógicos h imd estrutura dados básicas i h imd linguagem programação i h imd cálculo diferencial integral i h imd fundamentos matemáticos computação i h imd vetores geometria analítica h
7309,dim projeto software dim projeto análise algoritmos dim linguagens formais autômatos est estatistica aplicada engenharia i imd banco dados
7310,imd banco dados dim programação distribuída dim inteligencia artificial dim computação gráfica dim compiladores dim desenvolvimento sistemas web
7311,imd estrutura dados básicas i h imd linguagem programação i h imd fundamentos matemáticos computação i h imd probabilidade h imd práticas leitura escrita português ii h
7312,dim lógica computacional dim programação concorrente dim especificacao verificacao programas dim compiladores dim inteligencia artificial
7313,dim especificação verificação programas dim compiladores dim inteligência artificial dim programação distribuída
7314,dim projeto software h dim linguagens formais autômatos h est estatistica aplicada engenharia i h dim redes computadores h
7315,dim projeto sistemas operacionais h dim projeto software h dim linguagens formais autômatos h est estatistica aplicada engenharia i h imd banco dados h
7316,dim programação distribuída dim putação gráfica i dim introdução desenvolvimento jogos dim programação concorrente dim linguagens programação conceitos paradigmas
7317,dim organização arquitetura computadores mat álgebra linear computação mat matemática engenharia ii
7318,dim programação distribuída dim compiladores dim evp dim ia dim desenv sistemas web ii
7319,desenvolvimento web
7320,dim programação concorrente dim computação gráfica dim inteligencia artificial dim desenvolvimento sistemas web
7321,dim linguagens formais autômatos est estatistica aplicada engenharia i dim programação concorrente dim linguagens programacao conceitos paradigmas dim lógica computacional
7322,dim análise projeto orientado objetos h dim projeto interfaces usuário h imd introdução sistemas operacionais h imd redes computadores h
7323,dim análise projeto orientado objetos h dim projeto interfaces usuário h imd introdução sistemas operacionais h imd redes computadores h
7324,respostas pessoal oferta turmas praticamente fechada concluirmos solicitação envio informações att sílvia
7325,mat álgebra linear computação mat matemática engenharia ii
7326,sílvia alunos sabiamos matérias º º período ofertadas juntas reorganizar postar interesses visto período demanda havia acabado gostaria pedir alteração horário ihc desenvolvimento sistemas dispositivos móveis horários conflitantes matérias planejava cg optativa cg solicitada procuravamos optativas pudessem fechar semestre junto cg embarcados ihc vimos optativa mobile interessamos entrou ihc podemos pagala caso desanimada procurar optativas agradam carga horária período fato horário ihc praticamente inviabilizar busca estágio semestre
7327,prezados caso alguém interesse disciplinas listadas seguir manifestar interesse fórum possibilidade ofertadas calculo numerico ciencia computacao h grafos h fundamentos matemáticos computação iii h lógica computacional h att sílvia
7328,interesse disciplina grafos
7329,grafos últimas faltam mim interesse
7330,dim grafos h
7331,interesse pagar grafos
7332,interesse pagar grafos
7333,lógica computacional
7334,putacional
7335,grafos
7336,interesse nestes grafos h fundamentos matemáticos computação iii h
7337,interesse pagar grafos x
7338,interesse grafos h fundamentos matemáticos computação iii h
7339,lógica computacional h
7340,grafos h fundamentos matemáticos computação iii
7341,fundamentos matemáticos computação iii
7342,grafos
7343,interesse pagar grafos
7344,interesse fmc cálculo numérico
7345,interesse grafos fmc iii
7346,interesse grafos h
7347,prezados turmas grafos fmciii atendidas turma cálculo numérico ofertada demanda caso lógica demanda pequena envolve possíveis formandos tentando viabilizar dificuldade haverá professores afastados conseguimos substituto att sílvia
7348,grafos h lógica computacional h
7349,interesse cálculo numérico
7350,prezad cerimônia colação grau formandos bacharelado tecnologia informação realizada dia h auditório otto brito guerra reitoria ufrn concluintes chegar h antecedência amos tod cerimônia obrigatória conferido grau correspondente conclusão curso bti diploma entregue colação grau caso algum concluintes optado pacotes empresa cerimonial incluam beca necessário procurar coordenação curso possamos providenciála caso dúvidas pedimos procurem issão formatura rubens paiva eou coordenação curso email tel ramais segue lista possíveis concluintes período ciro martins pinto fagner morais dias fernanda chacon fontoura hugo andré gomes galvão joão matias pereira neto kamilla sâmia silva oliveira lucas cristiano calixto dantas marcel luiz oliveira mendonça matheus batistussi ribeiro nayana paula lopes farias romildo oliveira souza júnior rubem kalebe santos samanta ferreira aires wanderson modesto silva willyelns germano xavier ana caroline medeiros brito fernanda menezes paes isabel jackson rauup silvestre santos joao pedro alencar rocha holanda luisa rocha azevedo santos roberto anrafell araujo dantas samuel nata franca borges andré quintiliano bezerra silva maria clara souza fontes pereira kaio victor costa feliciano fabiana souza marinheiro inácio gomes medeiros leonardo eutrópio ferreira oliveira luiz eduardo marques silva rubens josé nogueira paiva atenciosamente secretaria bti
7351,prezados ponentes seguir oferta preferencial semestre correspondem disciplinas º semestre ciclo º estrutura curricular bcc sendo ofertados semestre princípio ofertados especificacao verificacao programas h compiladores h inteligencia artificial h programação distribuída h caso algum ache caso particular exija oferta algum ponentes entrar contato fórum relatar justificativa precisa feito rápido semestre ingressantes ciclo deverão cursar ponentes º semestre ciclo º estrutura curricular sistemas embarcados h computação gráfica i h interacao humanocomputador h att sílvia
7352,enorme interesse programação distribuída
7353,enorme interesse programação distribuída
7354,olá rodrigo nalbert haveria problema ofertar programação distribuída att sílvia
7355,enorme interesse programação distribuída últimas faltam formar bti viável deixar pagar
7356,professora enfase cc pagando disciplinas º estrutura curricular bcc semestre período expectativa pagar semestre disciplinas citadas vejo problemas inverter possuo interesse particular programação distribuída
7357,olá carlos programação distribuída disciplina º ciclo ciência computação formando bti basta reingresso º ciclo entrar ciência computação cursará ponentes bti ponente optativo ponentes obrigatórios formatura att sílvia
7358,olá felipe padrão oferta ponentes dimap anual feito esforço função demandas ofertar período convencional ponentes apresentam retenção poucos alunos ciclo poucos formaram bti recursos solicitar ponentes º º semestre alteramos projeto pedagógico flexibilidade oferta ponentes prática disciplinas º ofertadas disciplinas º modo entra º º º entra º º º att sílvia
7359,professora acho tendo conflíto ideias modo entra º º º entra º º º entrou cursando º período caso disse entrou deveria º º º planejamos achei iria problema pagar matérias º º período misturadas justamente entrada bcc virou semestral entrou bcc deveria pagando matérias º entrou pagar matérias º º º ofertadas problemas º período espero possam gente reenviar planejamentos programação distríbuida ia realmente ofertadas semestre precisaria reestruturar plano curso atte patrícia
7360,olá patrícia acho tendo conflíto ideias modo entra º º º entra º º º informação base entrada ciclo bcc bti realmente planejamento fica invertido entrou bti semestre inversão aconteceu turma bti duração anos anos solicitação ponentes motivo formatura ofertados ofereceremos ponentes º semestre ponentes º semestre inversão levada colegiado gente expectativa desinversão depender demanda turmas bti caso ofertaremos º semestre naturalmente oferta regularizar infelizmente resolver ideia prejuízos att sílvia
7361,francesco farruggia presidente campus party brasil virá ufrn realização palestra feel the future aborda suma profissões futuro palestra realizada ctec dia informações contatar prof dino vejam imagem divulgação link
7362,título limitado caracteres abreviado hélio raílton victor agnez fizeram bonito recentemente mundial maratona programação acmicpc maio convidam colegas bti bcc bes bct ec etc participação evento painel maratona programação próximas sextas feiras caros alunos par quinzena maio ocorreu maratona programação international collegiate programming contest promovida acm ufrn time colegas participando hélio duarte victor agnez lima bti railton calheiros ec exbct fato inédito ufrn classificado time excelente desempenho classificandose asileiras segundos tradicional equipe ufpe américa sul américa latina vejam gostariam experiências incentivar participação colegas plementar formação gratificante abre portas mercado profissional elite poucos google ibm facebook etc sentido organizando eventos próximas sextas feiras nexta junho h extendendose noite evento sala ect junho h extendendose noite evento auditório b imd eventos idênticos alguma intersecção ect motivacional fazendo relato experiências participação incentivando colegas participar imd caráter técnico discutidos problemas programação mundial ano equipe professores imd ect dimap atuando incentivar atividade sentimos extremamente gratificados esforços darem resultado esperamos participação destas festas abraço sérgio medeiros rafael beserra carlos prolo formalidade coaches time equipe professores envolvidos
7363,correção apresentaçãopaineldiscussão hoje h auditório b imd anteriormente divulgado abraço prolo
7364,repasso oportunidade estágio vagas bolsa r prérequisitos cursando tecnologia informação habilidade desenvolvimento php mysql descrição atividades cargo auxílio desenvolvimento sistemas horas trabalho diárias horas intervalo minutos sextafeira horas benefícios bolsa r valetransporte vale refeição r dia contrato renovável anos currículos enviados dia email contato
7365,prezad informamos aquel desejarem realizar mudança ênfase semestre requerela junto secretaria curso sala b dia att secretaria bti
7366,prezados trabalhando proposta oferta ponentes curriculares gostaríamos consultar alunos disciplinas gostaria cursar ênfase thread postem solicitações ênfase sistemas informação gestão
7367,dim desenvolvimento sistemas web ii imd segurança informação imd introdução governança gestão ti imd design software ii
7368,imd segurança informação imd introdução governança gestão ti imd design software ii
7369,imd empreendedorismo h
7370,imd gestão projetos software h imd segurança informação h imd desenvolvimento ambiente desktop h imd sistemas inteligência empresarial h
7371,dim desenvolvimento sistemas web ii imd introdução governança gestão ti h imd sistemas inteligência empresarial h imd introdução sistemas operacionais h obs disciplinas fmc noite coordenação d
7372,imd segurança informação h imd desenvolvimento ambiente desktop h imd desenvolvimento dispositivos móveis h imd sistemas inteligência empresarial h
7373,imd desenvolvimento dispositivos móveis h dim desenvolvimento sistemas web ii h imd introdução sistemas operacionais h
7374,imd desenvolvimento dispositivos móveis h
7375,imd introdução governança gestão ti imd segurança informação imd sistemas inteligência empresarial
7376,imd desenvolvimento dispositivos móveis h imd sistemas inteligência empresarial h
7377,imd introdução governança gestão ti imd fundamentos sistemas informação imd sistemas inteligência empresarial imd gestão infraestrutura ti
7378,imd introdução teste software h imd desenvolvimento ambiente desktop h imd gestão projetos software h imd sistemas inteligência empresarial h imd introdução sistemas operacionais h
7379,imd desenvolvimento dispositivos móveis h
7380,desenvolvimento dispositivos moveis segurança informação
7381,imd fundamentos sistemas informação
7382,imd fundamentos sistemas informação
7383,imd fundamentos sistemas informação
7384,prezados trabalhando proposta oferta ponentes curriculares gostaríamos consultar alunos disciplinas gostaria cursar ênfase thread postem solicitações ênfase informática educacional
7385,tecnologias educacionais
7386,imd relações comunicação mídia educação h imd tecnologias educacionais h imd acessibilidade digital h
7387,imd empreendedorismo h
7388,imd relações comunicação mídia educação h imd acessibilidade digital h imd empreendedorismo h
7389,imd tecnologias educacionais h imd acessibilidade digital h imd desenvolvimento sistemas web i h imd desenvolvimento sistemas web ii h
7390,imd tecnologias educacionais h imd acessibilidade digital h
7391,imd jogos digitais ferramenta pedagógica h
7392,imd fundamentos pedagógicos informática educacional ii imd tecnologias educacionais imd relações comunicação mídia educação
7393,imd tecnologias educacionais imd acessibilidade digital imd relações comunicação mídia educação
7394,imd relações comunicação mídia educação h imd acessibilidade digital h
7395,imd relações comunicação mídia educação h imd desenvolvimento sistemas web i h imd jogos digitais ferramenta pedagógica h
7396,prezados trabalhando proposta oferta ponentes curriculares gostaríamos consultar alunos disciplinas gostaria cursar ênfase thread postem solicitações ênfase sistemas embarcados
7397,imd organização arquitetura computadores h imd circuitos eletrônicos h imd sistemas digitais reconfiguráveis h imd metodologias projetos sistemas embarcados h imd introdução sistemas controle h imd projeto integrado i h
7398,imd organização arquitetura computadores h fmc sair grade boato
7399,imd sistemas operacionais imd redes computadores imd projeto integrado i
7400,prezad deart oportunidade bolsa suporte ti horário h h enviar currículo resumido atestado matricula dia email
7401,oi pessoal abertos editais relacionados pósgraduação es seleção mestrado profissional es edital tjrn bolsa alunos pósgraduação ti encontrase anexo coordenação mpes entrará tjrn viabilizar participação alunos seleção tjrn dúvida enviem email
7402,sabia existe campeonato mundial inúmeros campeonatos internacionais petitivo universitário apesar incrível potencial brasil representação nesses eventos mudar cenário nascer ufrn projeto objetivo realizar debates semanais moldes importantes torneios internacionais debate debater inúmeros motivos levam pessoa debater citar debatestreino formações aprenderá construir casos analisar problemas gerar melhores soluções problemas aprender detectar falhas argumentos próprios prática debate capaz transmitir ideias modo claro preciso confiante crucialmente movimento petitivo fomenta criação melhores lideranças cidadania desenvolvimento pensamento crítico ambiente propício livre intercâmbio ideias participar basta preencher formulário constante link aparecer debate demonstrativo explicaremos projeto interessados iniciativa claro realizarmos debate mostrar falando quartafeira junho sala setor ufrn preciso debater assistir interessante adjudicar debate explicaremos dia aberto restrição curso universidade presença
7403,repasso abaixo mensagem ramo estudantil ieee ufrn ramo estudantil ieee ufrn ramo estudantil ieee espécie braço instituto presente universidades mundo inteiro possibilitando acesso alunos graduação pósgraduação professores pesquisadores atividades profissionais educacionais vantagem resolvemos reativar entidade ufrn afinal universidade possui potencial enorme inovação pesquisa inclusão mercado profissional organização técnica mundo ótima chance entramos contato convidálos participar palestra divulgação ramo oficializar reativação universidade palestra ocorrerá auditório ctec dia junho sextafeira h servirá informar unidade acadêmica ieee ramo útil universidade próximos passos tornar equipe segue anexo informações resumidas destacar ramo objetiva integração alunos diversas vertentes tecnologia diversos cursos pedimos divulguem salas aula alunos pesquisadores docentes possam participar entidade ciência existência disposição página oficial facebook sbufrn sala npiti ramo estudantil ieee ufrn universidade federal rio norte seção bahiar obs cartaz divulgação anexo
7404,palestra vitor hugo xavier abordará soluções tecnologias ópticas aplicações sistemas ópticos abordados detalhes parâmetros definição cabo acessórios instalação óptico procedimentos análise testes link óptico haverá sessão prática fusão ópticas abordando otdr power meter técnicas manuseio parâmetros medição vitor hugo xavier silva técnico redes óptica sênior empresa cabo serviços unicações cabo responsável técnicort empresa eletriccom engenharia possui vasta experiência projetos instalação redes óptica palestra voltada estudantes profissionais áreas tecnologia informação unicações engenharia imdcivt auditório b dia quintafeira h cartaz divulgação anexo
7405,haverá urna imd feira chapa enfrente conta voto vozes cantos ufrn estudantes vindos cursos presentes campi universidade jovens mulheres negros negras lgbts residentes pibidianos bolsistas empresários juniores centros acadêmicos diretórios acadêmicos construímos movimento une união nacional estudantes instrumento luta situação governo atual enfrente desmonte educação ataques direitos sentido convidamos partilham dessas inquietações sonhos construir conosco enfrente votar chapa dias maio delegados delegadas ufrn º congresso une
7406,inova série oficinas aprendafazendo inova metrópole incubadora imdufrn oficina dia tema encontrar mercado participação especial ae vamos ajudálo encontrar mercado atuação possa start carreira empreendedor inscrevase hoje perder oficina série fique olho próximas oficina r pacote promocional disponível site participar oficinas r poucas vagas restando deixe esperando inscrevase obs folder divulgação anexo
7407,corre pro codecademy pro codewars python duo python mundo real aplicações escalonáveis ciência dados pra python alternativa concreta pra players mercado python duo imd tema h ítalo rossi arquitetura aplicações escalonáveis python tema h sérgio filipe data python data sábado sala b imdufrn inscrições link evento palestrantes ítalo sérgio trabalham evolux empresa estabelecida unidade python nacional ítalo python brasil organizar edição evento natal contribuidores projeto open source freeswitch unicações
7408,olá informo aprovados prova proficiência imd itp imd ptp realizada dia
7409,haverá prova sabia proficiência matérias acabei fazendo
7410,olá felipe proficiência requerida disciplinas aluno sido matriculado consideram adquirido conhecimento conteúdo ponente curricular justificativa requerer secretaria dispensa aprovação prova proficiência disciplina
7411,entendi
7412,prezados disponível site prograd edital reingresso ciclo cursos ciência computação engenharia software edital segue anexo informações importantes inscrição histórico apresentar status formandoformado inscrições secretaria bti att sílvia
7413,silvia dúvida solicitei mudança ênfase livre p vou concluir semestre semestre coordenação enviar solicitações mudança ênfase prograd º julho inscrição inscrição homologação reingresso sendo dia junho junho respectivamente caso devo anexo ênfase consta atualmente histórico certo plicação acaso inscrição ênfase julho histórico mudar vinculado ênfase
7414,amazon mostrou interesse realizar workshops ufrn demanda divulgando planilha seguir interessados assinarem reforço série workshops mensais aceitas sugestões temas
7415,iniciativa bledson coloquei nome planilha faça workshop universidade extrema importância capacitação vide amazon crescendo exponencialmente mercado ti conforme notícia recente
7416,bledson informar submeto sugestos temas possíveis workshops achei legal proposta limita unidade interna
7417,olá gostaria alguém funciona prova reposição direito realizála dúvida agradeço
7418,art considerado aprovado avaliação aprendizagem estudante satisfaz seguintes critérios i média parcial igual superior ii média parcial igual superior rendimento acadêmico igual superior unidades parágrafo único rendimento acadêmico média estudantes aprovados acordo critérios artigo igual média parcial art estudante atinge critérios aprovação definidos artigo direito realização avaliação reposição seguintes condições atendidas i critério aprovação assiduidade satisfeito ii estudante média parcial igual superior parágrafo único estudante atinge critérios aprovação definidos artigo realizar avaliação reposição considerado rendimento acadêmico média igual média parcial art estudante realiza avaliação reposição rendimento acadêmico obtido avaliação reposição substitui rendimento acadêmico obtido unidades sendo calculado rendimento acadêmico média aritmética rendimentos escolares obtidos avaliação reposição unidades cujos rendimentos substituídos º caso estudante obtenha rendimento acadêmico unidade considerase avaliação reposição substitui nota unidade curso º facultado professor utilizar instrumento avaliação único estudantes avaliação reposição adotar instrumentos avaliação distintos relacionados conteú unidades devendo estudante caso realizar avaliação reposição utilizando instrumento avaliação correspondente unidade rendimento acadêmico sendo substituído art estudante realiza avaliação reposição considerado aprovado avalia ção aprendizagem satisfaz seguintes critérios i média igual superior ii média igual superior rendimento acadêmico igual superior avaliação reposição parágrafo único estudante realiza avaliação reposição atinge critérios aprovação definidos artigo considerado reprovado art prazo realização avaliação reposição mínimo dias úteis contados divulgação média parcial registro frequência estudante oficial registro controle acadêmico art estudante participa avaliação atribuída nota º estudante utilizar avaliação reposição substituir nota correspondente unidade pareceu algum instrumento avaliação º caso parecimento avaliação avaliação reposição substituirá nota unidades permanecendo nota atribuída avaliações unidades º mecanismo reposição substituição nota estudante avaliação reposição
7419,projeto smart metropolis instituto metrópole digital imdufrn abriu inscrição quartafeira maio prosseguindo dia seleção bolsistas atuar atividades pesquisa desenvolvimento métodos soluções contexto cidades inteligentes sendo ofertadas vagas distribuídas wps aplicações infraestrutura análise visualização dados formação graduação mestrado doutorado informações
7420,edital aparecem tabela lido errado alguma cargos vagas disponíveis
7421,vagas conforme tabela
